Clean Comment,True Label,Predicted Label
terap jam jam kaya ganjil genap,negative,negative
grabcar gocar kah,neutral,neutral
beda ojol gimana,neutral,neutral
solusi desentralisasi cipta kota metropolitan luar jkt,negative,negative
kurang macet solusi jalan tol bayar mahal macet,negative,negative
kendaran,neutral,neutral
dapat,negative,neutral
akibat gembar gembor bangun hutang rakyat tanggung,negative,negative
bener owner jakarta alias dki dkk aja bayar segitu receh lha gimana klo kurir mo anter barang ojol cinta ojol alih busway jalan bayar aja buswaynya penuh gimana klo bayar ular antri dki koq nyusahin rakyat benahin transportasi umum maksain hendak dki,neutral,neutral
gimana gaji pas bawa motor susah akses kendara umum,negative,negative
bijak top markotop pj galak gubernur ketua dpr kabar tuju,neutral,negative
dana perintah,neutral,neutral
asa dipalakin preman,neutral,neutral
aldimaulana bantengers miskin sok bela,negative,negative
tuju dijakarta aja,neutral,neutral
bayangin,neutral,neutral
mobilmasih bayar tetep macet tarifin gitu sepi jalan,negative,negative
trus guna bayar pajak,neutral,neutral
cetek,neutral,neutral
sip,neutral,neutral
besok lintas gang rumah tarifin kendaran,neutral,neutral
anjay jalan kantor pramuka salemba gajah mada pintu selatan auto kaya,neutral,neutral
jaman firaun rakyat pake jalan gak suruh bayar,neutral,neutral
pea bayar pajak loh tahun motor mobil trus uang pajak,neutral,neutral
berplat dinas gratis ap bayar,neutral,positive
road tax kendara umum singapore,negative,neutral
udah bayar pakai pajak,neutral,neutral
besok jalan kaki aja,neutral,neutral
jalan jkt aja udah sempit gali kabel ruwet endemi byk keluar isu resesi aja blm kelar jalan umum tarif cepet milu biar ganti perintah biar ganti program,negative,negative
bukti gagal dalam kelola kota negara anggar butuh apbd apbn rakyat manja akan jarah hak hak tenang,negative,negative
pakai asumsi juta data juta guna data dishub dki kerja proyek uji coba terap erp waktu tunggu infrastruktur mass transport pada laku uji coba erp terap uji coba erp segara laksana,negative,positive
otak kolam,neutral,neutral
negara bijak bayar gin disingapore,negative,positive
ada atur rakyat senang sejahtera kayak atur urus duit mulu,neutral,negative
salah strategi nihh mustinya lgsg ruas bikin aja ruas udh implementasi rakyat udh lupa biasa gak polemik dehh tetapin ruas jalan bgitchuuu,negative,negative
jln aj bayar,neutral,neutral
sony oke bro bcara bayar memilki dapat ump dki pp bayar erp kata sisih hasil dapat ribu sharsnya alokasi butuh paksa suruh perintah bayar save hasil dapat transporasi publik kondisi jakarta pada nyaman tunggu bnyak titik titik nunggu transportasi mnit alhasil efisien waktu berangkat pulang efesien kendara peribadinya benah dapat ump transportasi bandingin nagara maju bayar dollar dapat banding oke oke aja tetap ump aja bawah ump,negative,positive
kejut tahun,neutral,negative
verddika susah bayar pajak udah kumpul bonus tugas pajak,neutral,negative
nafas bayar ygy,neutral,neutral
jajan dpr,neutral,neutral
uud ujung ujung duit pajak mending hapus,neutral,neutral
anying ajah ojol anyeb,neutral,neutral
brti ush bayar pajak,neutral,neutral
parah,negative,negative
kolonialisme nampaknya konoha biaya panggil biju,neutral,neutral
dprd mingkem,neutral,neutral
uang manis madu haik haik haik haik haik,neutral,positive
ladang hijau,neutral,neutral
udah atur aja uang rakyat,neutral,neutral
welcome to jakarta indonesia,neutral,neutral
wtf,neutral,neutral
atn bayar hutang,negative,negative
gak ttp macet sejati indonesia rela hutang gaya,negative,negative
terimakasih susah rakyat,negative,negative
ojol aja taxol,neutral,neutral
ras,negative,neutral
pindah wna gmn,neutral,neutral
lahan basah lahan basah aja cari celah,negative,negative
bisnis rakyat sndri,negative,neutral
pasu transj mrt teman,neutral,neutral
