word,sentiment
absah,positive
absolut,positive
acuan,positive
afdol,positive
ahli,positive
akademisi,positive
akan bayar,positive
akbar,positive
akrab,positive
aktif,positive
aktualisasi,positive
akur,positive
akurat,positive
alami,positive
alamiah,positive
alhamdulillah,positive
alim,positive
alim ulama,positive
amal,positive
amal jariah,positive
aman,positive
aman-aman,positive
amboi,positive
ampuh,positive
anak emas,positive
andal,positive
andalan,positive
anggukan,positive
anggun,positive
animo,positive
anjuran,positive
anteng,positive
antusias,positive
antusiasme,positive
anugrah,positive
apresiasi,positive
arahan,positive
atensi,positive
ayo,positive
bagus,positive
bahagia,positive
bahagiakan,positive
bahagian,positive
bahu-membahu,positive
baik,positive
baik-baik,positive
bajik,positive
bakat,positive
bakti,positive
bala bantuan,positive
balas budi,positive
balas jasa,positive
bangga,positive
bangkit,positive
bantu,positive
bantuan,positive
banyak,positive
banyak-banyak,positive
beasiswa,positive
bebas banjir,positive
bebas hambatan,positive
bebas murni,positive
becus,positive
bekal,positive
beken,positive
bekerja keras,positive
bekerja sama,positive
belajar,positive
belas kasih,positive
benah,positive
benar,positive
bening,positive
berakal,positive
berakhlak,positive
beramal,positive
beraneka ragam,positive
berangkulan,positive
berani,positive
berbagi,positive
berbahagia,positive
berbaikan,positive
berbakat,positive
berbakti,positive
berbangga,positive
berbinar-binar,positive
berbobot,positive
berbudaya,positive
berbudi,positive
berbunga-bunga,positive
bercahaya,positive
berdamai,positive
berdaulat,positive
berdaya,positive
berdaya guna,positive
berdaya upaya,positive
berdecak kagum,positive
berdikari,positive
berempati,positive
beretika,positive
beretiket,positive
berfaedah,positive
berfungsi,positive
bergandengan,positive
bergizi,positive
bergotong-royong,positive
berguna,positive
berhadiah,positive
berharap,positive
berharga,positive
berhasil,positive
berhemat,positive
berihtiar,positive
berijtihad,positive
berikhtiar,positive
berikrar,positive
beriktikad,positive
beriman,positive
berimbang,positive
berinisiatif,positive
berinovasi,positive
beritikad,positive
berjaya,positive
berkembang pesat,positive
berkesinambungan,positive
berkhasiat,positive
berkibar,positive
berkontribusi,positive
berkoordinasi,positive
berkreasi,positive
berkualitas,positive
berlimpah,positive
bermaaf-maafan,positive
bermanfaat,positive
berminat,positive
bermoral,positive
bermusyawarah,positive
berniat,positive
berolah raga,positive
berpeluang,positive
berpelukan,positive
berpengalaman,positive
berprestasi,positive
bersabar,positive
bersahabat,positive
bersahaja,positive
bersalam-salaman,positive
bersalaman,positive
bersama,positive
bersama-sama,positive
bersatu,positive
bersatu padu,positive
bersedia,positive
bersesuaian,positive
bersilaturahmi,positive
bersimpati,positive
bersinergi,positive
bersopan santun,positive
bersorak,positive
bersorak sorai,positive
bersosialisasi,positive
bersukaria,positive
bersyukur,positive
bertahan,positive
bertahap,positive
bertalenta,positive
bertasawuf,positive
bertasbih,positive
bertasyakur,positive
bertaubat,positive
bertawakal,positive
bertekad,positive
bertepa salira,positive
berterima kasih,positive
berterus terang,positive
